['1*Z2*X3', '-1*X0*Z1', '1*Z2*X4', '-1*X1*Z3', '1*Z3*Z4', '-1*X0*X2', '1*X1*X3', '-1*Z0*Z4', '1*Z2*X3', '-1*X0*Z1', '1*Z2*X4', '-1*X1*Z3', '1*Z3*Z4', '-1*X0*X2', '1*Z0*Z4', '-1*X1*X3']
['1*Z2*X3', '-1*X0*Z1', '1*Z2*X4', '-1*X1*Z3', '1*X2*Z4', '-1*X0*Z3', '1*X3*Z4', '-1*Z0*X1', '1*Z2*X3', '-1*X0*Z1', '1*Z2*X4', '-1*X1*Z3', '1*X2*Z4', '-1*X0*Z3', '1*X1*Z4', '-1*Z0*X3']
['1*Z2*X3', '-1*X0*Z1', '1*Z2*X4', '-1*X1*Z3', '1*X2*Z4', '-1*X0*Z3', '1*X1*X3', '-1*Z0*Z4', '1*Z2*X3', '-1*X0*Z1', '1*Z2*X4', '-1*X1*Z3', '1*X2*Z4', '-1*X0*Z3', '1*Z0*Z4', '-1*X1*X3']
['1*Z2*X3', '-1*X0*Z1', '1*Z2*X4', '-1*X1*Z3', '1*X2*Z4', '-1*X0*Z3', '1*Z0*X3', '-1*X1*Z4', '1*Z2*X3', '-1*X0*Z1', '1*Z2*X4', '-1*X1*Z3', '1*X2*Z4', '-1*X0*Z3', '1*Z0*X1', '-1*X3*Z4']
['1*Z2*X3', '-1*X0*Z1', '1*Z2*X4', '-1*X1*Z3', '1*X2*Z3', '-1*X0*Z4', '1*X3*Z4', '-1*Z0*X1', '1*Z2*X3', '-1*X0*Z1', '1*Z2*X4', '-1*X1*Z3', '1*X2*Z3', '-1*X0*Z4', '1*X1*Z4', '-1*Z0*X3']
['1*Z2*X3', '-1*X0*Z1', '1*Z2*X4', '-1*X1*Z3', '1*X2*Z3', '-1*X0*Z4', '1*X1*X3', '-1*Z0*Z4', '1*Z2*X3', '-1*X0*Z1', '1*Z2*X4', '-1*X1*Z3', '1*X2*Z3', '-1*X0*Z4', '1*Z0*Z4', '-1*X1*X3']
['1*Z2*X3', '-1*X0*Z1', '1*Z2*X4', '-1*X1*Z3', '1*X2*Z3', '-1*X0*Z4', '1*Z0*X3', '-1*X1*Z4', '1*Z2*X3', '-1*X0*Z1', '1*Z2*X4', '-1*X1*Z3', '1*X2*Z3', '-1*X0*Z4', '1*Z0*X1', '-1*X3*Z4']
['1*Z2*X3', '-1*X0*Z1', '1*Z2*X4', '-1*X1*Z3', '1*X0*Z4', '-1*X2*Z3', '1*X3*Z4', '-1*Z0*X1', '1*Z2*X3', '-1*X0*Z1', '1*Z2*X4', '-1*X1*Z3', '1*X0*Z4', '-1*X2*Z3', '1*X1*Z4', '-1*Z0*X3']
['1*Z2*X3', '-1*X0*Z1', '1*Z2*X4', '-1*X1*Z3', '1*X0*Z4', '-1*X2*Z3', '1*X1*X3', '-1*Z0*Z4', '1*Z2*X3', '-1*X0*Z1', '1*Z2*X4', '-1*X1*Z3', '1*X0*Z4', '-1*X2*Z3', '1*Z0*Z4', '-1*X1*X3']
['1*Z2*X3', '-1*X0*Z1', '1*Z2*X4', '-1*X1*Z3', '1*X0*Z4', '-1*X2*Z3', '1*Z0*X3', '-1*X1*Z4', '1*Z2*X3', '-1*X0*Z1', '1*Z2*X4', '-1*X1*Z3', '1*X0*Z4', '-1*X2*Z3', '1*Z0*X1', '-1*X3*Z4']
['1*Z2*X3', '-1*X0*Z1', '1*Z2*X4', '-1*X1*Z3', '1*X0*Z3', '-1*X2*Z4', '1*X3*Z4', '-1*Z0*X1', '1*Z2*X3', '-1*X0*Z1', '1*Z2*X4', '-1*X1*Z3', '1*X0*Z3', '-1*X2*Z4', '1*X1*Z4', '-1*Z0*X3']
['1*Z2*X3', '-1*X0*Z1', '1*Z2*X4', '-1*X1*Z3', '1*X0*Z3', '-1*X2*Z4', '1*X1*X3', '-1*Z0*Z4', '1*Z2*X3', '-1*X0*Z1', '1*Z2*X4', '-1*X1*Z3', '1*X0*Z3', '-1*X2*Z4', '1*Z0*Z4', '-1*X1*X3']
['1*Z2*X3', '-1*X0*Z1', '1*Z2*X4', '-1*X1*Z3', '1*X0*Z3', '-1*X2*Z4', '1*Z0*X3', '-1*X1*Z4', '1*Z2*X3', '-1*X0*Z1', '1*Z2*X4', '-1*X1*Z3', '1*X0*Z3', '-1*X2*Z4', '1*Z0*X1', '-1*X3*Z4']
['1*Z2*X3', '-1*X0*Z1', '1*Z2*X4', '-1*X1*Z3', '1*X0*X2', '-1*Z3*Z4', '1*X1*X3', '-1*Z0*Z4', '1*Z2*X3', '-1*X0*Z1', '1*Z2*X4', '-1*X1*Z3', '1*X0*X2', '-1*Z3*Z4', '1*Z0*Z4', '-1*X1*X3']
['1*Z2*X3', '-1*X0*Z1', '1*Z2*Z3', '-1*X1*X4', '1*Z3*Z4', '-1*X0*X2', '1*X3*Z4', '-1*Z0*X1', '1*Z2*X3', '-1*X0*Z1', '1*Z2*Z3', '-1*X1*X4', '1*Z3*Z4', '-1*X0*X2', '1*X1*Z4', '-1*Z0*X3']
['1*Z2*X3', '-1*X0*Z1', '1*Z2*Z3', '-1*X1*X4', '1*Z3*Z4', '-1*X0*X2', '1*X1*X3', '-1*Z0*Z4', '1*Z2*X3', '-1*X0*Z1', '1*Z2*Z3', '-1*X1*X4', '1*Z3*Z4', '-1*X0*X2', '1*Z0*Z4', '-1*X1*X3']
['1*Z2*X3', '-1*X0*Z1', '1*Z2*Z3', '-1*X1*X4', '1*Z3*Z4', '-1*X0*X2', '1*Z0*X3', '-1*X1*Z4', '1*Z2*X3', '-1*X0*Z1', '1*Z2*Z3', '-1*X1*X4', '1*Z3*Z4', '-1*X0*X2', '1*Z0*X1', '-1*X3*Z4']
['1*Z2*X3', '-1*X0*Z1', '1*Z2*Z3', '-1*X1*X4', '1*X2*Z4', '-1*X0*Z3', '1*X3*Z4', '-1*Z0*X1', '1*Z2*X3', '-1*X0*Z1', '1*Z2*Z3', '-1*X1*X4', '1*X2*Z4', '-1*X0*Z3', '1*X1*Z4', '-1*Z0*X3']
['1*Z2*X3', '-1*X0*Z1', '1*Z2*Z3', '-1*X1*X4', '1*X2*Z4', '-1*X0*Z3', '1*X1*X3', '-1*Z0*Z4', '1*Z2*X3', '-1*X0*Z1', '1*Z2*Z3', '-1*X1*X4', '1*X2*Z4', '-1*X0*Z3', '1*Z0*Z4', '-1*X1*X3']
['1*Z2*X3', '-1*X0*Z1', '1*Z2*Z3', '-1*X1*X4', '1*X2*Z4', '-1*X0*Z3', '1*Z0*X3', '-1*X1*Z4', '1*Z2*X3', '-1*X0*Z1', '1*Z2*Z3', '-1*X1*X4', '1*X2*Z4', '-1*X0*Z3', '1*Z0*X1', '-1*X3*Z4']
['1*Z2*X3', '-1*X0*Z1', '1*Z2*Z3', '-1*X1*X4', '1*X2*Z3', '-1*X0*Z4', '1*X3*Z4', '-1*Z0*X1', '1*Z2*X3', '-1*X0*Z1', '1*Z2*Z3', '-1*X1*X4', '1*X2*Z3', '-1*X0*Z4', '1*X1*Z4', '-1*Z0*X3']
['1*Z2*X3', '-1*X0*Z1', '1*Z2*Z3', '-1*X1*X4', '1*X2*Z3', '-1*X0*Z4', '1*X1*X3', '-1*Z0*Z4', '1*Z2*X3', '-1*X0*Z1', '1*Z2*Z3', '-1*X1*X4', '1*X2*Z3', '-1*X0*Z4', '1*Z0*Z4', '-1*X1*X3']
['1*Z2*X3', '-1*X0*Z1', '1*Z2*Z3', '-1*X1*X4', '1*X2*Z3', '-1*X0*Z4', '1*Z0*X3', '-1*X1*Z4', '1*Z2*X3', '-1*X0*Z1', '1*Z2*Z3', '-1*X1*X4', '1*X2*Z3', '-1*X0*Z4', '1*Z0*X1', '-1*X3*Z4']
['1*Z2*X3', '-1*X0*Z1', '1*Z2*Z3', '-1*X1*X4', '1*X0*Z4', '-1*X2*Z3', '1*X3*Z4', '-1*Z0*X1', '1*Z2*X3', '-1*X0*Z1', '1*Z2*Z3', '-1*X1*X4', '1*X0*Z4', '-1*X2*Z3', '1*X1*Z4', '-1*Z0*X3']
['1*Z2*X3', '-1*X0*Z1', '1*Z2*Z3', '-1*X1*X4', '1*X0*Z4', '-1*X2*Z3', '1*X1*X3', '-1*Z0*Z4', '1*Z2*X3', '-1*X0*Z1', '1*Z2*Z3', '-1*X1*X4', '1*X0*Z4', '-1*X2*Z3', '1*Z0*Z4', '-1*X1*X3']
['1*Z2*X3', '-1*X0*Z1', '1*Z2*Z3', '-1*X1*X4', '1*X0*Z4', '-1*X2*Z3', '1*Z0*X3', '-1*X1*Z4', '1*Z2*X3', '-1*X0*Z1', '1*Z2*Z3', '-1*X1*X4', '1*X0*Z4', '-1*X2*Z3', '1*Z0*X1', '-1*X3*Z4']
['1*Z2*X3', '-1*X0*Z1', '1*Z2*Z3', '-1*X1*X4', '1*X0*Z3', '-1*X2*Z4', '1*X3*Z4', '-1*Z0*X1', '1*Z2*X3', '-1*X0*Z1', '1*Z2*Z3', '-1*X1*X4', '1*X0*Z3', '-1*X2*Z4', '1*X1*Z4', '-1*Z0*X3']
['1*Z2*X3', '-1*X0*Z1', '1*Z2*Z3', '-1*X1*X4', '1*X0*Z3', '-1*X2*Z4', '1*X1*X3', '-1*Z0*Z4', '1*Z2*X3', '-1*X0*Z1', '1*Z2*Z3', '-1*X1*X4', '1*X0*Z3', '-1*X2*Z4', '1*Z0*Z4', '-1*X1*X3']
['1*Z2*X3', '-1*X0*Z1', '1*Z2*Z3', '-1*X1*X4', '1*X0*Z3', '-1*X2*Z4', '1*Z0*X3', '-1*X1*Z4', '1*Z2*X3', '-1*X0*Z1', '1*Z2*Z3', '-1*X1*X4', '1*X0*Z3', '-1*X2*Z4', '1*Z0*X1', '-1*X3*Z4']
['1*Z2*X3', '-1*X0*Z1', '1*Z2*Z3', '-1*X1*X4', '1*X0*X2', '-1*Z3*Z4', '1*X3*Z4', '-1*Z0*X1', '1*Z2*X3', '-1*X0*Z1', '1*Z2*Z3', '-1*X1*X4', '1*X0*X2', '-1*Z3*Z4', '1*X1*Z4', '-1*Z0*X3']
['1*Z2*X3', '-1*X0*Z1', '1*Z2*Z3', '-1*X1*X4', '1*X0*X2', '-1*Z3*Z4', '1*X1*X3', '-1*Z0*Z4', '1*Z2*X3', '-1*X0*Z1', '1*Z2*Z3', '-1*X1*X4', '1*X0*X2', '-1*Z3*Z4', '1*Z0*Z4', '-1*X1*X3']
['1*Z2*X3', '-1*X0*Z1', '1*Z2*Z3', '-1*X1*X4', '1*X0*X2', '-1*Z3*Z4', '1*Z0*X3', '-1*X1*Z4', '1*Z2*X3', '-1*X0*Z1', '1*Z2*Z3', '-1*X1*X4', '1*X0*X2', '-1*Z3*Z4', '1*Z0*X1', '-1*X3*Z4']
['1*Z2*X3', '-1*X0*Z1', '1*X1*X4', '-1*Z2*Z3', '1*Z3*Z4', '-1*X0*X2', '1*X3*Z4', '-1*Z0*X1', '1*Z2*X3', '-1*X0*Z1', '1*X1*X4', '-1*Z2*Z3', '1*Z3*Z4', '-1*X0*X2', '1*X1*Z4', '-1*Z0*X3']
['1*Z2*X3', '-1*X0*Z1', '1*X1*X4', '-1*Z2*Z3', '1*Z3*Z4', '-1*X0*X2', '1*X1*X3', '-1*Z0*Z4', '1*Z2*X3', '-1*X0*Z1', '1*X1*X4', '-1*Z2*Z3', '1*Z3*Z4', '-1*X0*X2', '1*Z0*Z4', '-1*X1*X3']
['1*Z2*X3', '-1*X0*Z1', '1*X1*X4', '-1*Z2*Z3', '1*Z3*Z4', '-1*X0*X2', '1*Z0*X3', '-1*X1*Z4', '1*Z2*X3', '-1*X0*Z1', '1*X1*X4', '-1*Z2*Z3', '1*Z3*Z4', '-1*X0*X2', '1*Z0*X1', '-1*X3*Z4']
['1*Z2*X3', '-1*X0*Z1', '1*X1*X4', '-1*Z2*Z3', '1*X2*Z4', '-1*X0*Z3', '1*X3*Z4', '-1*Z0*X1', '1*Z2*X3', '-1*X0*Z1', '1*X1*X4', '-1*Z2*Z3', '1*X2*Z4', '-1*X0*Z3', '1*X1*Z4', '-1*Z0*X3']
['1*Z2*X3', '-1*X0*Z1', '1*X1*X4', '-1*Z2*Z3', '1*X2*Z4', '-1*X0*Z3', '1*X1*X3', '-1*Z0*Z4', '1*Z2*X3', '-1*X0*Z1', '1*X1*X4', '-1*Z2*Z3', '1*X2*Z4', '-1*X0*Z3', '1*Z0*Z4', '-1*X1*X3']
['1*Z2*X3', '-1*X0*Z1', '1*X1*X4', '-1*Z2*Z3', '1*X2*Z4', '-1*X0*Z3', '1*Z0*X3', '-1*X1*Z4', '1*Z2*X3', '-1*X0*Z1', '1*X1*X4', '-1*Z2*Z3', '1*X2*Z4', '-1*X0*Z3', '1*Z0*X1', '-1*X3*Z4']
['1*Z2*X3', '-1*X0*Z1', '1*X1*X4', '-1*Z2*Z3', '1*X2*Z3', '-1*X0*Z4', '1*X3*Z4', '-1*Z0*X1', '1*Z2*X3', '-1*X0*Z1', '1*X1*X4', '-1*Z2*Z3', '1*X2*Z3', '-1*X0*Z4', '1*X1*Z4', '-1*Z0*X3']
['1*Z2*X3', '-1*X0*Z1', '1*X1*X4', '-1*Z2*Z3', '1*X2*Z3', '-1*X0*Z4', '1*X1*X3', '-1*Z0*Z4', '1*Z2*X3', '-1*X0*Z1', '1*X1*X4', '-1*Z2*Z3', '1*X2*Z3', '-1*X0*Z4', '1*Z0*Z4', '-1*X1*X3']
['1*Z2*X3', '-1*X0*Z1', '1*X1*X4', '-1*Z2*Z3', '1*X2*Z3', '-1*X0*Z4', '1*Z0*X3', '-1*X1*Z4', '1*Z2*X3', '-1*X0*Z1', '1*X1*X4', '-1*Z2*Z3', '1*X2*Z3', '-1*X0*Z4', '1*Z0*X1', '-1*X3*Z4']
['1*Z2*X3', '-1*X0*Z1', '1*X1*X4', '-1*Z2*Z3', '1*X0*Z4', '-1*X2*Z3', '1*X3*Z4', '-1*Z0*X1', '1*Z2*X3', '-1*X0*Z1', '1*X1*X4', '-1*Z2*Z3', '1*X0*Z4', '-1*X2*Z3', '1*X1*Z4', '-1*Z0*X3']
['1*Z2*X3', '-1*X0*Z1', '1*X1*X4', '-1*Z2*Z3', '1*X0*Z4', '-1*X2*Z3', '1*X1*X3', '-1*Z0*Z4', '1*Z2*X3', '-1*X0*Z1', '1*X1*X4', '-1*Z2*Z3', '1*X0*Z4', '-1*X2*Z3', '1*Z0*Z4', '-1*X1*X3']
['1*Z2*X3', '-1*X0*Z1', '1*X1*X4', '-1*Z2*Z3', '1*X0*Z4', '-1*X2*Z3', '1*Z0*X3', '-1*X1*Z4', '1*Z2*X3', '-1*X0*Z1', '1*X1*X4', '-1*Z2*Z3', '1*X0*Z4', '-1*X2*Z3', '1*Z0*X1', '-1*X3*Z4']
['1*Z2*X3', '-1*X0*Z1', '1*X1*X4', '-1*Z2*Z3', '1*X0*Z3', '-1*X2*Z4', '1*X3*Z4', '-1*Z0*X1', '1*Z2*X3', '-1*X0*Z1', '1*X1*X4', '-1*Z2*Z3', '1*X0*Z3', '-1*X2*Z4', '1*X1*Z4', '-1*Z0*X3']
['1*Z2*X3', '-1*X0*Z1', '1*X1*X4', '-1*Z2*Z3', '1*X0*Z3', '-1*X2*Z4', '1*X1*X3', '-1*Z0*Z4', '1*Z2*X3', '-1*X0*Z1', '1*X1*X4', '-1*Z2*Z3', '1*X0*Z3', '-1*X2*Z4', '1*Z0*Z4', '-1*X1*X3']
['1*Z2*X3', '-1*X0*Z1', '1*X1*X4', '-1*Z2*Z3', '1*X0*Z3', '-1*X2*Z4', '1*Z0*X3', '-1*X1*Z4', '1*Z2*X3', '-1*X0*Z1', '1*X1*X4', '-1*Z2*Z3', '1*X0*Z3', '-1*X2*Z4', '1*Z0*X1', '-1*X3*Z4']
['1*Z2*X3', '-1*X0*Z1', '1*X1*X4', '-1*Z2*Z3', '1*X0*X2', '-1*Z3*Z4', '1*X3*Z4', '-1*Z0*X1', '1*Z2*X3', '-1*X0*Z1', '1*X1*X4', '-1*Z2*Z3', '1*X0*X2', '-1*Z3*Z4', '1*X1*Z4', '-1*Z0*X3']
['1*Z2*X3', '-1*X0*Z1', '1*X1*X4', '-1*Z2*Z3', '1*X0*X2', '-1*Z3*Z4', '1*X1*X3', '-1*Z0*Z4', '1*Z2*X3', '-1*X0*Z1', '1*X1*X4', '-1*Z2*Z3', '1*X0*X2', '-1*Z3*Z4', '1*Z0*Z4', '-1*X1*X3']
['1*Z2*X3', '-1*X0*Z1', '1*X1*X4', '-1*Z2*Z3', '1*X0*X2', '-1*Z3*Z4', '1*Z0*X3', '-1*X1*Z4', '1*Z2*X3', '-1*X0*Z1', '1*X1*X4', '-1*Z2*Z3', '1*X0*X2', '-1*Z3*Z4', '1*Z0*X1', '-1*X3*Z4']
['1*Z2*X3', '-1*X0*Z1', '1*X1*Z3', '-1*Z2*X4', '1*Z3*Z4', '-1*X0*X2', '1*X1*X3', '-1*Z0*Z4', '1*Z2*X3', '-1*X0*Z1', '1*X1*Z3', '-1*Z2*X4', '1*Z3*Z4', '-1*X0*X2', '1*Z0*Z4', '-1*X1*X3']
['1*Z2*X3', '-1*X0*Z1', '1*X1*Z3', '-1*Z2*X4', '1*X2*Z4', '-1*X0*Z3', '1*X3*Z4', '-1*Z0*X1', '1*Z2*X3', '-1*X0*Z1', '1*X1*Z3', '-1*Z2*X4', '1*X2*Z4', '-1*X0*Z3', '1*X1*Z4', '-1*Z0*X3']
['1*Z2*X3', '-1*X0*Z1', '1*X1*Z3', '-1*Z2*X4', '1*X2*Z4', '-1*X0*Z3', '1*X1*X3', '-1*Z0*Z4', '1*Z2*X3', '-1*X0*Z1', '1*X1*Z3', '-1*Z2*X4', '1*X2*Z4', '-1*X0*Z3', '1*Z0*Z4', '-1*X1*X3']
['1*Z2*X3', '-1*X0*Z1', '1*X1*Z3', '-1*Z2*X4', '1*X2*Z4', '-1*X0*Z3', '1*Z0*X3', '-1*X1*Z4', '1*Z2*X3', '-1*X0*Z1', '1*X1*Z3', '-1*Z2*X4', '1*X2*Z4', '-1*X0*Z3', '1*Z0*X1', '-1*X3*Z4']
['1*Z2*X3', '-1*X0*Z1', '1*X1*Z3', '-1*Z2*X4', '1*X2*Z3', '-1*X0*Z4', '1*X3*Z4', '-1*Z0*X1', '1*Z2*X3', '-1*X0*Z1', '1*X1*Z3', '-1*Z2*X4', '1*X2*Z3', '-1*X0*Z4', '1*X1*Z4', '-1*Z0*X3']
['1*Z2*X3', '-1*X0*Z1', '1*X1*Z3', '-1*Z2*X4', '1*X2*Z3', '-1*X0*Z4', '1*X1*X3', '-1*Z0*Z4', '1*Z2*X3', '-1*X0*Z1', '1*X1*Z3', '-1*Z2*X4', '1*X2*Z3', '-1*X0*Z4', '1*Z0*Z4', '-1*X1*X3']
['1*Z2*X3', '-1*X0*Z1', '1*X1*Z3', '-1*Z2*X4', '1*X2*Z3', '-1*X0*Z4', '1*Z0*X3', '-1*X1*Z4', '1*Z2*X3', '-1*X0*Z1', '1*X1*Z3', '-1*Z2*X4', '1*X2*Z3', '-1*X0*Z4', '1*Z0*X1', '-1*X3*Z4']
['1*Z2*X3', '-1*X0*Z1', '1*X1*Z3', '-1*Z2*X4', '1*X0*Z4', '-1*X2*Z3', '1*X3*Z4', '-1*Z0*X1', '1*Z2*X3', '-1*X0*Z1', '1*X1*Z3', '-1*Z2*X4', '1*X0*Z4', '-1*X2*Z3', '1*X1*Z4', '-1*Z0*X3']
['1*Z2*X3', '-1*X0*Z1', '1*X1*Z3', '-1*Z2*X4', '1*X0*Z4', '-1*X2*Z3', '1*X1*X3', '-1*Z0*Z4', '1*Z2*X3', '-1*X0*Z1', '1*X1*Z3', '-1*Z2*X4', '1*X0*Z4', '-1*X2*Z3', '1*Z0*Z4', '-1*X1*X3']
['1*Z2*X3', '-1*X0*Z1', '1*X1*Z3', '-1*Z2*X4', '1*X0*Z4', '-1*X2*Z3', '1*Z0*X3', '-1*X1*Z4', '1*Z2*X3', '-1*X0*Z1', '1*X1*Z3', '-1*Z2*X4', '1*X0*Z4', '-1*X2*Z3', '1*Z0*X1', '-1*X3*Z4']
['1*Z2*X3', '-1*X0*Z1', '1*X1*Z3', '-1*Z2*X4', '1*X0*Z3', '-1*X2*Z4', '1*X3*Z4', '-1*Z0*X1', '1*Z2*X3', '-1*X0*Z1', '1*X1*Z3', '-1*Z2*X4', '1*X0*Z3', '-1*X2*Z4', '1*X1*Z4', '-1*Z0*X3']
['1*Z2*X3', '-1*X0*Z1', '1*X1*Z3', '-1*Z2*X4', '1*X0*Z3', '-1*X2*Z4', '1*X1*X3', '-1*Z0*Z4', '1*Z2*X3', '-1*X0*Z1', '1*X1*Z3', '-1*Z2*X4', '1*X0*Z3', '-1*X2*Z4', '1*Z0*Z4', '-1*X1*X3']
['1*Z2*X3', '-1*X0*Z1', '1*X1*Z3', '-1*Z2*X4', '1*X0*Z3', '-1*X2*Z4', '1*Z0*X3', '-1*X1*Z4', '1*Z2*X3', '-1*X0*Z1', '1*X1*Z3', '-1*Z2*X4', '1*X0*Z3', '-1*X2*Z4', '1*Z0*X1', '-1*X3*Z4']
['1*Z2*X3', '-1*X0*Z1', '1*X1*Z3', '-1*Z2*X4', '1*X0*X2', '-1*Z3*Z4', '1*X1*X3', '-1*Z0*Z4', '1*Z2*X3', '-1*X0*Z1', '1*X1*Z3', '-1*Z2*X4', '1*X0*X2', '-1*Z3*Z4', '1*Z0*Z4', '-1*X1*X3']
